food_name,serving_description,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,calcium_mg,iron_mg,vitamin_c_mg
"Rhodiola Rosea","1 capsule (1g)",2,0.1,0.4,0.0,0.1,0.0,1,3,0.0,0.3
"Ginseng","1 capsule (1g)",4,0.2,0.7,0.0,0.1,0.0,2,1,0.0,0.5
"Melatonin","1 tablet (1g)",0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
"CoQ10","1 capsule (1g)",0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
"Alpha-Lipoic Acid","1 capsule (1g)",0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
"NAC (N-Acetyl Cysteine)","1 capsule (1g)",0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
"Spirulina","1 tsp (3g)",11,2.2,0.9,0.3,0.1,0.0,41,4,1.0,0.3
"Chlorella","1 tsp (3g)",12,2.0,1.0,0.3,0.0,0.0,35,12,4.3,3.0
"Biotin","1 tablet (1g)",0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
"Folate","1 tablet (1g)",0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
"Vitamin E","1 capsule (1g)",0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
"Vitamin K2","1 capsule (1g)",0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
"Selenium","1 tablet (1g)",0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
"Chromium","1 tablet (1g)",0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
"Copper","1 tablet (1g)",0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
"Manganese","1 tablet (1g)",0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
"Iodine","1 tablet (1g)",0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
"Boron","1 tablet (1g)",0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
"Silica","1 tablet (1g)",0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
"MSM","1 capsule (1g)",0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
"Glucosamine","1 tablet (1g)",0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
"Chondroitin","1 tablet (1g)",0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
"Hyaluronic Acid","1 capsule (1g)",0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
"Resveratrol","1 capsule (1g)",0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
"Quercetin","1 capsule (1g)",0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
"Curcumin","1 capsule (1g)",2,0.1,0.4,0.1,0.1,0.0,1,8,0.2,1.2
