name,description,category,primary_muscle,secondary_muscle,tertiary_muscle,equipment_needed,difficulty_level,instructions
"Dumbbell Row","Single-arm rowing exercise","Free Weight","Latissimus Dorsi","Rhomboids","Rear Deltoids","Dumbbells, Bench","Beginner","Support on bench, row dumbbell to hip, squeeze shoulder blade"
"Dumbbell Shoulder Press","Seated or standing shoulder press","Free Weight","Front Deltoids","Triceps","Upper Abdominals","Dumbbells","Beginner","Press dumbbells overhead from shoulder level, lower with control"
"Dumbbell Squat","Squat holding dumbbells","Free Weight","Quadriceps","Glutes","Hamstrings","Dumbbells","Beginner","Hold dumbbells at sides, squat down, drive through heels to stand"
"Dumbbell Lunge","Forward or reverse lunge with dumbbells","Free Weight","Quadriceps","Glutes","Calves","Dumbbells","Beginner","Step into lunge holding dumbbells, lower back knee, return to start"
"Dumbbell Curl","Bicep curl with dumbbells","Free Weight","Biceps","Brachialis","Forearms","Dumbbells","Beginner","Hold dumbbells, curl up by flexing biceps, lower slowly"
"Dumbbell Tricep Extension","Overhead tricep exercise","Free Weight","Triceps","Rear Deltoids","Forearms","Dumbbells","Beginner","Hold dumbbell overhead, lower behind head, extend back up"
"Dumbbell Pullover","Chest and lat exercise lying down","Free Weight","Middle Chest","Latissimus Dorsi","Serratus Anterior","Dumbbells, Bench","Intermediate","Lie on bench, hold dumbbell over chest, lower behind head, pull back"
"Dumbbell Deadlift","Deadlift variation with dumbbells","Free Weight","Hamstrings","Glutes","Erector Spinae","Dumbbells","Beginner","Hold dumbbells, hinge at hips, lower weights, return to standing"
"Goblet Squat","Squat holding single dumbbell","Free Weight","Quadriceps","Glutes","Upper Abdominals","Dumbbell","Beginner","Hold dumbbell at chest, squat down keeping chest up"
"Dumbbell Step-Up","Single-leg exercise stepping onto platform","Free Weight","Quadriceps","Glutes","Calves","Dumbbells, Platform","Beginner","Step up onto platform with one leg, step down with control"
"Dumbbell Bulgarian Split Squat","Rear-foot elevated single-leg squat","Free Weight","Quadriceps","Glutes","Calves","Dumbbells, Bench","Intermediate","Rear foot on bench, lower into lunge, drive through front heel"
"Dumbbell Hammer Curl","Neutral grip bicep curl","Free Weight","Brachialis","Biceps","Forearms","Dumbbells","Beginner","Hold dumbbells with neutral grip, curl up, lower slowly"
"Dumbbell Lateral Raise","Side deltoid isolation","Free Weight","Side Deltoids","Front Deltoids","Trapezius","Dumbbells","Beginner","Hold dumbbells at sides, raise out to sides, lower slowly"
"Dumbbell Rear Delt Flye","Rear deltoid isolation exercise","Free Weight","Rear Deltoids","Rhomboids","Middle Trapezius","Dumbbells","Beginner","Bend over, raise dumbbells out to sides squeezing shoulder blades"
"Dumbbell Incline Flye","Incline chest isolation","Free Weight","Upper Chest","Front Deltoids","Serratus Anterior","Dumbbells, Incline Bench","Intermediate","On incline bench, arc dumbbells out and up"
"Dumbbell Shrug","Trapezius exercise with dumbbells","Free Weight","Trapezius","Upper Trapezius","Rhomboids","Dumbbells","Beginner","Hold dumbbells, shrug shoulders up, hold, lower"
"Farmer's Walk","Functional carrying exercise","Free Weight","Forearms","Trapezius","Upper Abdominals","Dumbbells","Beginner","Hold heavy dumbbells, walk maintaining posture"
"Dumbbell Thruster","Compound squat to press movement","Free Weight","Quadriceps","Front Deltoids","Glutes","Dumbbells","Advanced","Squat holding dumbbells, drive up pressing weights overhead"
"Dumbbell Romanian Deadlift","Hip hinge with dumbbells","Free Weight","Hamstrings","Glutes","Erector Spinae","Dumbbells","Beginner","Hold dumbbells, hinge at hips, lower weights, return"
"Dumbbell Bent-Over Row","Bent-over rowing with both arms","Free Weight","Latissimus Dorsi","Rhomboids","Rear Deltoids","Dumbbells","Intermediate","Bend over holding dumbbells, row both to hips"
"Dumbbell Clean and Press","Olympic lift variation","Free Weight","Front Deltoids","Quadriceps","Glutes","Dumbbells","Advanced","Clean dumbbells to shoulders, press overhead"
"Dumbbell Snatch","Single-arm power movement","Free Weight","Front Deltoids","Quadriceps","Upper Abdominals","Dumbbell","Advanced","Pull dumbbell from floor to overhead in one motion"
"Dumbbell Turkish Get-Up","Complex full-body movement","Free Weight","Upper Abdominals","Front Deltoids","Glutes","Dumbbell","Advanced","Complex movement from lying to standing holding weight"
"Single-Arm Dumbbell Press","Unilateral shoulder press","Free Weight","Front Deltoids","Upper Abdominals","Triceps","Dumbbell","Intermediate","Press single dumbbell overhead, engage core for stability"
"Dumbbell Woodchop","Rotational core exercise","Free Weight","Obliques","Front Deltoids","Upper Abdominals","Dumbbell","Intermediate","Hold dumbbell, rotate from high to low across body"
"Dumbbell Swing","Hip hinge power movement","Free Weight","Glutes","Hamstrings","Upper Abdominals","Dumbbell","Intermediate","Swing dumbbell between legs and up to chest level"
"Dumbbell Renegade Row","Plank position rowing","Free Weight","Latissimus Dorsi","Upper Abdominals","Rhomboids","Dumbbells","Advanced","In plank on dumbbells, row one at a time"
"Dumbbell Man Maker","Complex full-body exercise","Free Weight","Middle Chest","Front Deltoids","Quadriceps","Dumbbells","Advanced","Burpee with dumbbell rows and overhead press"
"Arnold Press","Rotating shoulder press","Free Weight","Front Deltoids","Side Deltoids","Triceps","Dumbbells","Intermediate","Start with palms facing you, rotate and press overhead"
"Dumbbell Zottman Curl","Bicep curl with rotation","Free Weight","Biceps","Forearms","Brachialis","Dumbbells","Intermediate","Curl up normally, rotate and lower slowly"
"Dumbbell 21s","Bicep curl variation with partial reps","Free Weight","Biceps","Brachialis","Forearms","Dumbbells","Intermediate","7 bottom half reps, 7 top half, 7 full range"
"Dumbbell Concentration Curl","Isolated bicep curl","Free Weight","Biceps","Brachialis","Forearms","Dumbbell","Beginner","Sit, elbow on thigh, curl dumbbell focusing on bicep"
"Dumbbell Wrist Curl","Forearm strengthening","Free Weight","Forearms","Biceps","Brachialis","Dumbbell","Beginner","Forearms on thighs, curl weight with wrists only"
"Dumbbell Reverse Curl","Bicep curl with overhand grip","Free Weight","Brachialis","Biceps","Forearms","Dumbbells","Beginner","Hold dumbbells overhand, curl up, lower slowly"
"Dumbbell Kickback","Tricep isolation exercise","Free Weight","Triceps","Rear Deltoids","Forearms","Dumbbells","Beginner","Bend over, extend dumbbell back squeezing tricep"
"Single-Arm Dumbbell Row","Unilateral back exercise","Free Weight","Latissimus Dorsi","Rhomboids","Rear Deltoids","Dumbbell, Bench","Beginner","Support on bench, row single dumbbell to hip"
"Dumbbell Incline Curl","Bicep curl on incline bench","Free Weight","Biceps","Brachialis","Forearms","Dumbbells, Incline Bench","Intermediate","On incline bench, curl dumbbells with full stretch"
"Dumbbell Decline Press","Chest press on decline bench","Free Weight","Lower Chest","Triceps","Front Deltoids","Dumbbells, Decline Bench","Intermediate","On decline bench, press dumbbells from chest"
"Dumbbell Floor Press","Floor chest press","Free Weight","Middle Chest","Triceps","Front Deltoids","Dumbbells","Beginner","Lie on floor, press dumbbells from chest level"
"Dumbbell Pullover Cross-Bench","Chest expansion exercise","Free Weight","Middle Chest","Latissimus Dorsi","Serratus Anterior","Dumbbell, Bench","Intermediate","Lie across bench, hold dumbbell over chest, lower behind head"
"Dumbbell Spider Curl","Bicep curl on incline bench face down","Free Weight","Biceps","Brachialis","Forearms","Dumbbells, Incline Bench","Intermediate","Face down on incline, curl dumbbells up"
"Dumbbell Single-Leg Deadlift","Unilateral hip hinge","Free Weight","Hamstrings","Glutes","Upper Abdominals","Dumbbells","Intermediate","Stand on one leg, hinge at hip lowering weights"
"Dumbbell Calf Raise","Standing calf exercise","Free Weight","Calves","Hip Flexors","Upper Abdominals","Dumbbells","Beginner","Hold dumbbells, rise up on toes, lower slowly"
"Dumbbell Side Lunge","Lateral lunge movement","Free Weight","Quadriceps","Glutes","Hip Adductors","Dumbbells","Beginner","Step to side into lunge, push back to center"
"Dumbbell Reverse Lunge","Backward stepping lunge","Free Weight","Quadriceps","Glutes","Hamstrings","Dumbbells","Beginner","Step back into lunge, push through front heel to return"
"Dumbbell Sumo Squat","Wide-stance squat","Free Weight","Quadriceps","Glutes","Hip Adductors","Dumbbell","Beginner","Wide stance, hold dumbbell between legs, squat down"
"Dumbbell Box Step-Up","Platform stepping exercise","Free Weight","Quadriceps","Glutes","Calves","Dumbbells, Box","Beginner","Step up onto box, step down with control"
"Dumbbell Walking Lunge","Dynamic lunge movement","Free Weight","Quadriceps","Glutes","Calves","Dumbbells","Intermediate","Lunge forward alternating legs while walking"
"Dumbbell Curtsy Lunge","Cross-behind lunge movement","Free Weight","Quadriceps","Glutes","Hip Adductors","Dumbbells","Intermediate","Step back and across behind other leg"
"Dumbbell Jump Squat","Explosive squat movement","Free Weight","Quadriceps","Glutes","Calves","Dumbbells","Advanced","Squat down, explode up jumping, land softly"
"Dumbbell Single-Arm Snatch","Unilateral power movement","Free Weight","Front Deltoids","Quadriceps","Upper Abdominals","Dumbbell","Advanced","Pull dumbbell from floor to overhead explosively"
"Dumbbell High Pull","Power movement to chest level","Free Weight","Side Deltoids","Trapezius","Quadriceps","Dumbbells","Advanced","Pull dumbbells from floor to chest level explosively"
"Dumbbell Push Press","Lower body assisted shoulder press","Free Weight","Front Deltoids","Quadriceps","Triceps","Dumbbells","Advanced","Slight knee bend to assist pressing dumbbells overhead"
"Dumbbell Front Raise","Anterior deltoid isolation","Free Weight","Front Deltoids","Upper Chest","Serratus Anterior","Dumbbells","Beginner","Hold dumbbells, raise forward to shoulder height"
"Dumbbell Upright Row","Vertical pulling exercise","Free Weight","Side Deltoids","Trapezius","Biceps","Dumbbells","Intermediate","Hold dumbbells close, pull up to chest level"
"Dumbbell Reverse Flye","Rear deltoid exercise","Free Weight","Rear Deltoids","Rhomboids","Middle Trapezius","Dumbbells","Beginner","Bend over, raise dumbbells out to sides"
"Dumbbell Scaption","Shoulder abduction in scapular plane","Free Weight","Side Deltoids","Front Deltoids","Serratus Anterior","Dumbbells","Beginner","Raise dumbbells forward at 45-degree angle"
"Dumbbell L-Raise","Combination front and lateral raise","Free Weight","Front Deltoids","Side Deltoids","Upper Chest","Dumbbells","Intermediate","Raise one dumbbell forward, one to side"
"Dumbbell Y-Raise","Overhead Y-position raise","Free Weight","Side Deltoids","Lower Trapezius","Serratus Anterior","Dumbbells","Intermediate","Raise dumbbells overhead in Y position"
"Dumbbell T-Raise","Lateral raise to T-position","Free Weight","Side Deltoids","Rear Deltoids","Rhomboids","Dumbbells","Beginner","Raise dumbbells to sides forming T shape"
"Dumbbell Cuban Press","Shoulder external rotation exercise","Free Weight","Rear Deltoids","Rotator Cuff","Side Deltoids","Dumbbells","Intermediate","Upright row, rotate, then press overhead"
"Dumbbell Face Pull","Rear deltoid and upper back exercise","Free Weight","Rear Deltoids","Rhomboids","Middle Trapezius","Dumbbells","Intermediate","Pull dumbbells to face level separating hands"
"Dumbbell Prone Y-Raise","Chest-down Y-raise","Free Weight","Lower Trapezius","Rear Deltoids","Rhomboids","Dumbbells, Bench","Intermediate","Lie face down, raise dumbbells in Y position"
"Dumbbell Prone T-Raise","Chest-down T-raise","Free Weight","Rhomboids","Rear Deltoids","Middle Trapezius","Dumbbells, Bench","Intermediate","Lie face down, raise dumbbells to sides"
"Dumbbell Prone I-Raise","Chest-down overhead raise","Free Weight","Lower Trapezius","Side Deltoids","Rhomboids","Dumbbells, Bench","Intermediate","Lie face down, raise dumbbells overhead"
"Dumbbell Wall Sit Shoulder Press","Isometric squat with press","Free Weight","Quadriceps","Front Deltoids","Glutes","Dumbbells","Intermediate","Wall sit position, press dumbbells overhead"
"Dumbbell Single-Leg Squat","Unilateral squat movement","Free Weight","Quadriceps","Glutes","Upper Abdominals","Dumbbell","Advanced","Single leg squat holding dumbbell for balance"
"Dumbbell Pistol Squat","Advanced single-leg squat","Free Weight","Quadriceps","Glutes","Upper Abdominals","Dumbbell","Advanced","Full range single-leg squat, other leg extended"
"Dumbbell Deficit Deadlift","Deadlift from elevated position","Free Weight","Hamstrings","Glutes","Erector Spinae","Dumbbells, Platform","Advanced","Stand on platform, deadlift from greater range"
"Dumbbell Stiff-Leg Deadlift","Straight leg hip hinge","Free Weight","Hamstrings","Glutes","Erector Spinae","Dumbbells","Intermediate","Keep legs straight, hinge at hips"
"Dumbbell Good Morning","Hip hinge with dumbbells","Free Weight","Hamstrings","Glutes","Erector Spinae","Dumbbells","Advanced","Hold dumbbells, hinge forward at hips"
"Dumbbell Hip Thrust","Glute exercise with dumbbells","Free Weight","Glutes","Hamstrings","Upper Abdominals","Dumbbells, Bench","Intermediate","Back on bench, thrust hips up with dumbbell"
"Dumbbell Glute Bridge","Floor-based glute exercise","Free Weight","Glutes","Hamstrings","Upper Abdominals","Dumbbell","Beginner","Lie on floor, bridge up with dumbbell on hips"
"Dumbbell Single-Leg Hip Thrust","Unilateral glute exercise","Free Weight","Glutes","Hamstrings","Upper Abdominals","Dumbbell, Bench","Advanced","Single leg hip thrust with dumbbell"
"Dumbbell Frog Pump","High-rep glute exercise","Free Weight","Glutes","Hip Adductors","Lower Abdominals","Dumbbell","Beginner","Feet together, knees out, bridge with dumbbell"
"Dumbbell Clamshell","Hip abduction exercise","Free Weight","Hip Abductors","Glutes","Obliques","Dumbbell","Beginner","Side-lying, rotate top leg up with weight"
"Dumbbell Fire Hydrant","Hip abduction from hands and knees","Free Weight","Hip Abductors","Glutes","Upper Abdominals","Dumbbell","Beginner","On hands and knees, lift leg to side with weight"
"Dumbbell Donkey Kick","Glute isolation exercise","Free Weight","Glutes","Hamstrings","Lower Abdominals","Dumbbell","Beginner","On hands and knees, kick leg back with weight"
"Dumbbell Reverse Hyperextension","Lower back and glute exercise","Free Weight","Glutes","Hamstrings","Erector Spinae","Dumbbell, Bench","Intermediate","Lie face down on bench, lift legs with weight"
"Dumbbell Standing Calf Raise","Unilateral calf exercise","Free Weight","Calves","Hip Flexors","Upper Abdominals","Dumbbell","Beginner","Single leg calf raise holding dumbbell"
"Dumbbell Seated Calf Raise","Seated calf strengthening","Free Weight","Calves","Hip Flexors","Quadriceps","Dumbbell","Beginner","Sit with dumbbell on thigh, raise up on toes"
"Dumbbell Toe Walk","Dynamic calf exercise","Free Weight","Calves","Upper Abdominals","Hip Flexors","Dumbbells","Beginner","Walk on toes holding dumbbells"
"Chest Press Machine","Seated chest press on machine","Machine","Middle Chest","Triceps","Front Deltoids","Chest Press Machine","Beginner","Sit in machine, press handles forward from chest"
"Leg Press Machine","Seated leg press exercise","Machine","Quadriceps","Glutes","Hamstrings","Leg Press Machine","Beginner","Sit in machine, press weight with feet"
"Lat Pulldown","Vertical pulling exercise","Machine","Latissimus Dorsi","Rhomboids","Biceps","Lat Pulldown Machine","Beginner","Sit at machine, pull bar down to chest"
"Seated Row","Horizontal pulling exercise","Machine","Latissimus Dorsi","Rhomboids","Rear Deltoids","Seated Row Machine","Beginner","Sit at machine, pull handles to chest"
"Shoulder Press Machine","Seated shoulder press","Machine","Front Deltoids","Triceps","Upper Chest","Shoulder Press Machine","Beginner","Sit in machine, press handles overhead"
"Leg Curl Machine","Hamstring isolation exercise","Machine","Hamstrings","Calves","Glutes","Leg Curl Machine","Beginner","Lie on machine, curl heels toward glutes"
"Leg Extension Machine","Quadriceps isolation exercise","Machine","Quadriceps","Hip Flexors","Glutes","Leg Extension Machine","Beginner","Sit in machine, extend legs straight"
"Cable Flye","Chest isolation using cables","Machine","Middle Chest","Front Deltoids","Serratus Anterior","Cable Machine","Intermediate","Stand between cables, bring handles together"
"Cable Row","Horizontal pulling with cables","Machine","Latissimus Dorsi","Rhomboids","Rear Deltoids","Cable Machine","Beginner","Sit at cable machine, pull handle to chest"
"Cable Lateral Raise","Side deltoid exercise with cables","Machine","Side Deltoids","Front Deltoids","Trapezius","Cable Machine","Beginner","Stand beside cable, raise handle to side"
"Tricep Pushdown","Tricep isolation using cables","Machine","Triceps","Forearms","Front Deltoids","Cable Machine","Beginner","Stand at cable machine, push bar down"
"Cable Bicep Curl","Bicep curl using cable machine","Machine","Biceps","Brachialis","Forearms","Cable Machine","Beginner","Stand at cable, curl handle up"
"Cable Face Pull","Rear deltoid exercise with cables","Machine","Rear Deltoids","Rhomboids","Middle Trapezius","Cable Machine","Intermediate","Pull cable to face level, separate hands"
"Cable Woodchop","Rotational core exercise with cable","Machine","Obliques","Upper Abdominals","Front Deltoids","Cable Machine","Intermediate","Rotate cable from high to low position"
"Cable Reverse Flye","Rear deltoid cable exercise","Machine","Rear Deltoids","Rhomboids","Middle Trapezius","Cable Machine","Beginner","Cross cables, pull handles apart"
"Pec Deck Machine","Chest isolation machine","Machine","Middle Chest","Front Deltoids","Serratus Anterior","Pec Deck Machine","Beginner","Sit in machine, bring pads together"
"Calf Raise Machine","Standing calf exercise on machine","Machine","Calves","Hip Flexors","Quadriceps","Calf Raise Machine","Beginner","Stand on machine, raise up on toes"
"Smith Machine Squat","Squat using guided barbell","Machine","Quadriceps","Glutes","Hamstrings","Smith Machine","Beginner","Squat with guided barbell for stability"
"Smith Machine Bench Press","Bench press with guided bar","Machine","Middle Chest","Triceps","Front Deltoids","Smith Machine","Beginner","Bench press with guided barbell"
"Hip Abduction Machine","Hip abductor strengthening","Machine","Hip Abductors","Glutes","Obliques","Hip Abduction Machine","Beginner","Sit in machine, push legs apart"
"Hip Adduction Machine","Hip adductor strengthening","Machine","Hip Adductors","Quadriceps","Obliques","Hip Adduction Machine","Beginner","Sit in machine, squeeze legs together"
"Back Extension Machine","Lower back strengthening","Machine","Erector Spinae","Glutes","Hamstrings","Back Extension Machine","Beginner","Position in machine, extend back upward"
"Ab Crunch Machine","Abdominal strengthening machine","Machine","Upper Abdominals","Middle Abdominals","Hip Flexors","Ab Crunch Machine","Beginner","Sit in machine, crunch forward"
"Assisted Dip Machine","Tricep and chest exercise with assistance","Machine","Triceps","Lower Chest","Front Deltoids","Assisted Dip Machine","Beginner","Kneel on machine, perform dips with assistance"
"Assisted Pull-up Machine","Back exercise with assistance","Machine","Latissimus Dorsi","Biceps","Rhomboids","Assisted Pull-up Machine","Beginner","Kneel on machine, pull up with assistance"
"Cable Crunch","Abdominal exercise using cable","Machine","Upper Abdominals","Middle Abdominals","Hip Flexors","Cable Machine","Beginner","Kneel at cable, crunch down"
"Cable Russian Twist","Rotational core exercise","Machine","Obliques","Upper Abdominals","Middle Abdominals","Cable Machine","Intermediate","Rotate cable side to side"
"Cable Pull-Through","Hip hinge exercise with cable","Machine","Glutes","Hamstrings","Erector Spinae","Cable Machine","Intermediate","Pull cable through legs with hip hinge"
"Cable Kickback","Glute exercise using cable","Machine","Glutes","Hamstrings","Hip Abductors","Cable Machine","Beginner","Kick leg back against cable resistance"
"Cable Side Bend","Oblique exercise with cable","Machine","Obliques","Quadratus Lumborum","Erector Spinae","Cable Machine","Beginner","Bend to side against cable resistance"
"Seated Leg Curl","Hamstring exercise seated","Machine","Hamstrings","Calves","Glutes","Leg Curl Machine","Beginner","Sit in machine, curl legs down"
"Standing Leg Curl","Hamstring exercise standing","Machine","Hamstrings","Calves","Glutes","Leg Curl Machine","Beginner","Stand at machine, curl one leg at a time"
"Preacher Curl Machine","Bicep isolation machine","Machine","Biceps","Brachialis","Forearms","Preacher Curl Machine","Beginner","Sit at machine, curl handles up"
"Machine Fly","Chest isolation machine","Machine","Middle Chest","Front Deltoids","Serratus Anterior","Machine Fly","Beginner","Sit in machine, bring handles together"
"T-Bar Row Machine","Back exercise using T-bar","Machine","Latissimus Dorsi","Rhomboids","Rear Deltoids","T-Bar Row Machine","Intermediate","Straddle machine, row handles to chest"
"Incline Press Machine","Incline chest press machine","Machine","Upper Chest","Front Deltoids","Triceps","Incline Press Machine","Beginner","Sit in inclined machine, press handles up"
"Decline Press Machine","Decline chest press machine","Machine","Lower Chest","Triceps","Front Deltoids","Decline Press Machine","Beginner","Sit in declined machine, press handles up"
"Reverse Pec Deck","Rear deltoid machine exercise","Machine","Rear Deltoids","Rhomboids","Middle Trapezius","Reverse Pec Deck","Beginner","Sit facing machine, pull handles apart"
"Cable Upright Row","Upright row using cable","Machine","Side Deltoids","Trapezius","Biceps","Cable Machine","Intermediate","Pull cable up to chest level"
"Cable Shrug","Trapezius exercise with cable","Machine","Trapezius","Upper Trapezius","Rhomboids","Cable Machine","Beginner","Shrug shoulders up against cable"
"Machine Shrug","Trapezius exercise on machine","Machine","Trapezius","Upper Trapezius","Rhomboids","Shrug Machine","Beginner","Stand in machine, shrug shoulders up"
"Glute Ham Raise","Hamstring and glute exercise","Machine","Hamstrings","Glutes","Erector Spinae","GHR Machine","Advanced","Secure feet, lower and raise body"
"Roman Chair Sit-Up","Abdominal exercise on roman chair","Machine","Upper Abdominals","Hip Flexors","Middle Abdominals","Roman Chair","Intermediate","Sit on chair, perform sit-ups"
"Captain's Chair Leg Raise","Hanging leg raise variation","Machine","Lower Abdominals","Hip Flexors","Upper Abdominals","Captain's Chair","Intermediate","Support on arms, raise legs up"
"Cable Hammer Curl","Neutral grip bicep curl with cable","Machine","Brachialis","Biceps","Forearms","Cable Machine","Beginner","Curl cable with neutral grip"
"Cable Concentration Curl","Isolated bicep curl with cable","Machine","Biceps","Brachialis","Forearms","Cable Machine","Beginner","Single arm curl with cable support"
"Cable Overhead Tricep Extension","Tricep exercise with cable overhead","Machine","Triceps","Rear Deltoids","Forearms","Cable Machine","Intermediate","Pull cable down from overhead position"
"Cable Lying Tricep Extension","Tricep exercise lying with cable","Machine","Triceps","Front Deltoids","Forearms","Cable Machine","Intermediate","Lie down, extend cable from overhead"
"Chest Dip Machine","Chest and tricep dip machine","Machine","Lower Chest","Triceps","Front Deltoids","Dip Machine","Beginner","Sit in machine, perform dips"
"Vertical Leg Press","Leg press in vertical position","Machine","Quadriceps","Glutes","Hamstrings","Vertical Leg Press","Beginner","Lie under machine, press weight up"
"Hack Squat Machine","Squat exercise on hack machine","Machine","Quadriceps","Glutes","Hamstrings","Hack Squat Machine","Intermediate","Stand in machine, squat with back support"
"Belt Squat Machine","Squat using belt attachment","Machine","Quadriceps","Glutes","Hamstrings","Belt Squat Machine","Intermediate","Wear belt, squat with weight attached"
"Pendulum Squat","Squat on pendulum machine","Machine","Quadriceps","Glutes","Hamstrings","Pendulum Squat","Intermediate","Stand on machine, squat in arc motion"
"Sissy Squat Machine","Quadriceps isolation machine","Machine","Quadriceps","Hip Flexors","Upper Abdominals","Sissy Squat Machine","Advanced","Lean back, squat focusing on quads"
"Leg Press Calf Raise","Calf raise on leg press machine","Machine","Calves","Hip Flexors","Quadriceps","Leg Press Machine","Beginner","Perform calf raises on leg press platform"
"Smith Machine Calf Raise","Calf raise using Smith machine","Machine","Calves","Hip Flexors","Upper Abdominals","Smith Machine","Beginner","Stand under Smith bar, perform calf raises"
"Cable Calf Raise","Calf raise using cable machine","Machine","Calves","Hip Flexors","Quadriceps","Cable Machine","Beginner","Stand on platform, perform calf raises with cable"
"Donkey Calf Raise Machine","Bent-over calf raise machine","Machine","Calves","Hamstrings","Erector Spinae","Donkey Calf Raise Machine","Beginner","Bend over in machine, perform calf raises"
"Seated Calf Raise Machine","Seated calf strengthening machine","Machine","Calves","Hip Flexors","Quadriceps","Seated Calf Raise Machine","Beginner","Sit in machine, raise up on toes with weight"
"Cable Side Lateral Raise","Lateral raise using cable from side","Machine","Side Deltoids","Front Deltoids","Trapezius","Cable Machine","Beginner","Stand beside cable, raise to side"
"Cable Front Raise","Front deltoid raise with cable","Machine","Front Deltoids","Upper Chest","Serratus Anterior","Cable Machine","Beginner","Raise cable forward to shoulder height"
"Cable Rear Delt Fly","Rear deltoid fly with cables","Machine","Rear Deltoids","Rhomboids","Middle Trapezius","Cable Machine","Beginner","Stand between cables, pull apart"
"Machine Lateral Raise","Lateral raise on machine","Machine","Side Deltoids","Front Deltoids","Trapezius","Lateral Raise Machine","Beginner","Sit in machine, raise handles to sides"
